sim_id,n_teams,n_meetings_per_team,n_items_per_meeting,alpha,sig_AI_first,sig_Human_first,sig_HumanFirst_Acc,converged
75,6,4,5,0.05,,,,0
76,6,4,5,0.05,,,,0
77,6,4,5,0.05,,,,0
78,6,4,5,0.05,,,,0
79,6,4,5,0.05,,,,0
80,6,4,5,0.05,,,,0
81,6,4,5,0.05,,,,0
82,6,4,5,0.05,,,,0
83,6,4,5,0.05,,,,0
84,6,4,5,0.05,,,,0
85,6,4,5,0.05,,,,0
86,6,4,5,0.05,,,,0
87,6,4,5,0.05,,,,0
88,6,4,5,0.05,,,,0
89,6,4,5,0.05,,,,0
90,6,4,5,0.05,,,,0
91,6,4,5,0.05,,,,0
92,6,4,5,0.05,,,,0
93,6,4,5,0.05,,,,0
94,6,4,5,0.05,,,,0
95,6,4,5,0.05,,,,0
96,6,4,5,0.05,,,,0
97,6,4,5,0.05,,,,0
98,6,4,5,0.05,,,,0
99,6,4,5,0.05,,,,0
100,6,4,5,0.05,,,,0
101,6,4,5,0.05,,,,0
102,6,4,5,0.05,,,,0
103,6,4,5,0.05,,,,0
104,6,4,5,0.05,,,,0
105,6,4,5,0.05,,,,0
106,6,4,5,0.05,,,,0
107,6,4,5,0.05,,,,0
108,6,4,5,0.05,,,,0
109,6,4,5,0.05,,,,0
110,6,4,5,0.05,,,,0
111,6,4,5,0.05,,,,0
112,6,4,5,0.05,,,,0
113,6,4,5,0.05,,,,0
114,6,4,5,0.05,,,,0
115,6,4,5,0.05,,,,0
116,6,4,5,0.05,,,,0
117,6,4,5,0.05,,,,0
118,6,4,5,0.05,,,,0
119,6,4,5,0.05,,,,0
120,6,4,5,0.05,,,,0
121,6,4,5,0.05,,,,0
122,6,4,5,0.05,,,,0
123,6,4,5,0.05,,,,0
124,6,4,5,0.05,,,,0
125,6,4,5,0.05,,,,0
126,6,4,5,0.05,,,,0
127,6,4,5,0.05,,,,0
128,6,4,5,0.05,,,,0
129,6,4,5,0.05,,,,0
130,6,4,5,0.05,,,,0
131,6,4,5,0.05,,,,0
132,6,4,5,0.05,,,,0
133,6,4,5,0.05,,,,0
134,6,4,5,0.05,,,,0
135,6,4,5,0.05,,,,0
136,6,4,5,0.05,,,,0
137,6,4,5,0.05,,,,0
138,6,4,5,0.05,,,,0
139,6,4,5,0.05,,,,0
140,6,4,5,0.05,,,,0
141,6,4,5,0.05,,,,0
142,6,4,5,0.05,,,,0
143,6,4,5,0.05,,,,0
144,6,4,5,0.05,,,,0
145,6,4,5,0.05,,,,0
146,6,4,5,0.05,,,,0
147,6,4,5,0.05,,,,0
148,6,4,5,0.05,,,,0
149,6,4,5,0.05,,,,0
150,6,4,5,0.05,,,,0
151,6,4,5,0.05,,,,0
152,6,4,5,0.05,,,,0
153,6,4,5,0.05,,,,0
154,6,4,5,0.05,,,,0
155,6,4,5,0.05,,,,0
156,6,4,5,0.05,,,,0
157,6,4,5,0.05,,,,0
158,6,4,5,0.05,,,,0
159,6,4,5,0.05,,,,0
160,6,4,5,0.05,,,,0
161,6,4,5,0.05,,,,0
162,6,4,5,0.05,,,,0
163,6,4,5,0.05,,,,0
164,6,4,5,0.05,,,,0
165,6,4,5,0.05,,,,0
166,6,4,5,0.05,,,,0
167,6,4,5,0.05,,,,0
168,6,4,5,0.05,,,,0
169,6,4,5,0.05,,,,0
170,6,4,5,0.05,,,,0
171,6,4,5,0.05,,,,0
172,6,4,5,0.05,,,,0
173,6,4,5,0.05,,,,0
174,6,4,5,0.05,,,,0
175,6,4,5,0.05,,,,0
176,6,4,5,0.05,,,,0
177,6,4,5,0.05,,,,0
178,6,4,5,0.05,,,,0
179,6,4,5,0.05,,,,0
180,6,4,5,0.05,,,,0
181,6,4,5,0.05,,,,0
182,6,4,5,0.05,,,,0
183,6,4,5,0.05,,,,0
184,6,4,5,0.05,,,,0
185,6,4,5,0.05,,,,0
186,6,4,5,0.05,,,,0
187,6,4,5,0.05,,,,0
188,6,4,5,0.05,,,,0
189,6,4,5,0.05,,,,0
190,6,4,5,0.05,,,,0
191,6,4,5,0.05,,,,0
192,6,4,5,0.05,,,,0
193,6,4,5,0.05,,,,0
194,6,4,5,0.05,,,,0
195,6,4,5,0.05,,,,0
196,6,4,5,0.05,,,,0
197,6,4,5,0.05,,,,0
198,6,4,5,0.05,,,,0
199,6,4,5,0.05,,,,0
200,6,4,5,0.05,,,,0
201,6,4,5,0.05,,,,0
202,6,4,5,0.05,,,,0
203,6,4,5,0.05,,,,0
204,6,4,5,0.05,,,,0
205,6,4,5,0.05,,,,0
206,6,4,5,0.05,,,,0
207,6,4,5,0.05,,,,0
208,6,4,5,0.05,,,,0
209,6,4,5,0.05,,,,0
210,6,4,5,0.05,,,,0
211,6,4,5,0.05,,,,0
212,6,4,5,0.05,,,,0
213,6,4,5,0.05,,,,0
214,6,4,5,0.05,,,,0
215,6,4,5,0.05,,,,0
216,6,4,5,0.05,,,,0
217,6,4,5,0.05,,,,0
218,6,4,5,0.05,,,,0
219,6,4,5,0.05,,,,0
220,6,4,5,0.05,,,,0
221,6,4,5,0.05,,,,0
222,6,4,5,0.05,,,,0
223,6,4,5,0.05,,,,0
224,6,4,5,0.05,,,,0
225,6,4,5,0.05,,,,0
226,6,4,5,0.05,,,,0
227,6,4,5,0.05,,,,0
228,6,4,5,0.05,,,,0
229,6,4,5,0.05,,,,0
230,6,4,5,0.05,,,,0
231,6,4,5,0.05,,,,0
232,6,4,5,0.05,,,,0
233,6,4,5,0.05,,,,0
234,6,4,5,0.05,,,,0
235,6,4,5,0.05,,,,0
236,6,4,5,0.05,,,,0
237,6,4,5,0.05,,,,0
238,6,4,5,0.05,,,,0
239,6,4,5,0.05,,,,0
240,6,4,5,0.05,,,,0
241,6,4,5,0.05,,,,0
242,6,4,5,0.05,,,,0
243,6,4,5,0.05,,,,0
244,6,4,5,0.05,,,,0
245,6,4,5,0.05,,,,0
246,6,4,5,0.05,,,,0
247,6,4,5,0.05,,,,0
248,6,4,5,0.05,,,,0
249,6,4,5,0.05,,,,0
250,6,4,5,0.05,,,,0
251,6,4,5,0.05,,,,0
252,6,4,5,0.05,,,,0
253,6,4,5,0.05,,,,0
254,6,4,5,0.05,,,,0
255,6,4,5,0.05,,,,0
256,6,4,5,0.05,,,,0
257,6,4,5,0.05,,,,0
258,6,4,5,0.05,,,,0
259,6,4,5,0.05,,,,0
260,6,4,5,0.05,,,,0
261,6,4,5,0.05,,,,0
262,6,4,5,0.05,,,,0
263,6,4,5,0.05,,,,0
264,6,4,5,0.05,,,,0
265,6,4,5,0.05,,,,0
266,6,4,5,0.05,,,,0
267,6,4,5,0.05,,,,0
268,6,4,5,0.05,,,,0
269,6,4,5,0.05,,,,0
270,6,4,5,0.05,,,,0
271,6,4,5,0.05,,,,0
272,6,4,5,0.05,,,,0
273,6,4,5,0.05,,,,0
274,6,4,5,0.05,,,,0
275,6,4,5,0.05,,,,0
276,6,4,5,0.05,,,,0
277,6,4,5,0.05,,,,0
278,6,4,5,0.05,,,,0
279,6,4,5,0.05,,,,0
280,6,4,5,0.05,,,,0
281,6,4,5,0.05,,,,0
282,6,4,5,0.05,,,,0
283,6,4,5,0.05,,,,0
284,6,4,5,0.05,,,,0
285,6,4,5,0.05,,,,0
286,6,4,5,0.05,,,,0
287,6,4,5,0.05,,,,0
288,6,4,5,0.05,,,,0
289,6,4,5,0.05,,,,0
290,6,4,5,0.05,,,,0
291,6,4,5,0.05,,,,0
292,6,4,5,0.05,,,,0
293,6,4,5,0.05,,,,0
294,6,4,5,0.05,,,,0
295,6,4,5,0.05,,,,0
296,6,4,5,0.05,,,,0
297,6,4,5,0.05,,,,0
298,6,4,5,0.05,,,,0
299,6,4,5,0.05,,,,0
300,6,4,5,0.05,,,,0
