team_id,meeting_id,week,agenda_item_id,sequence_condition,accountability,junior_talk_share,junior_critical_turns,override_ai,psych_safety_score
T4,T4_M3,3,T4_M3_A2,STATUS_QUO,1,0.294,3,0,3.48
T4,T4_M3,3,T4_M3_A3,HUMAN_FIRST,1,0.423,3,1,3.93
T4,T4_M3,3,T4_M3_A4,HUMAN_FIRST,1,0.303,3,1,3.71
T4,T4_M3,3,T4_M3_A5,STATUS_QUO,1,0.278,4,0,3.78
T4,T4_M4,4,T4_M4_A1,STATUS_QUO,0,0.246,1,0,3.53
T4,T4_M4,4,T4_M4_A2,AI_FIRST,0,0.21,2,0,3.43
T4,T4_M4,4,T4_M4_A3,STATUS_QUO,0,0.263,3,0,3.41
T4,T4_M4,4,T4_M4_A4,HUMAN_FIRST,1,0.389,6,0,3.89
T4,T4_M4,4,T4_M4_A5,STATUS_QUO,1,0.244,1,0,3.29
T5,T5_M1,1,T5_M1_A1,AI_FIRST,1,0.311,4,0,3.9
T5,T5_M1,1,T5_M1_A2,STATUS_QUO,1,0.239,2,0,3.76
T5,T5_M1,1,T5_M1_A3,HUMAN_FIRST,1,0.275,4,0,3.9
T5,T5_M1,1,T5_M1_A4,HUMAN_FIRST,1,0.357,2,0,3.84
T5,T5_M1,1,T5_M1_A5,AI_FIRST,0,0.194,2,0,3.31
T5,T5_M2,2,T5_M2_A1,AI_FIRST,0,0.139,1,0,3.44
T5,T5_M2,2,T5_M2_A2,STATUS_QUO,1,0.24,4,0,3.72
T5,T5_M2,2,T5_M2_A3,HUMAN_FIRST,1,0.341,3,0,3.69
T5,T5_M2,2,T5_M2_A4,STATUS_QUO,1,0.205,3,1,3.77
T5,T5_M2,2,T5_M2_A5,HUMAN_FIRST,0,0.274,3,0,3.62
T5,T5_M3,3,T5_M3_A1,AI_FIRST,0,0.308,2,0,3.69
T5,T5_M3,3,T5_M3_A2,HUMAN_FIRST,1,0.346,2,0,4.02
T5,T5_M3,3,T5_M3_A3,AI_FIRST,1,0.297,3,0,3.41
T5,T5_M3,3,T5_M3_A4,STATUS_QUO,1,0.195,2,0,3.86
T5,T5_M3,3,T5_M3_A5,HUMAN_FIRST,0,0.288,2,0,3.49
T5,T5_M4,4,T5_M4_A1,STATUS_QUO,1,0.264,2,0,3.85
T5,T5_M4,4,T5_M4_A2,STATUS_QUO,0,0.316,5,0,3.36
T5,T5_M4,4,T5_M4_A3,AI_FIRST,1,0.234,0,0,3.49
T5,T5_M4,4,T5_M4_A4,AI_FIRST,1,0.196,1,0,3.82
T5,T5_M4,4,T5_M4_A5,STATUS_QUO,0,0.26,1,0,3.45
T6,T6_M1,1,T6_M1_A1,AI_FIRST,0,0.227,1,0,3.43
T6,T6_M1,1,T6_M1_A2,HUMAN_FIRST,0,0.205,2,0,3.38
T6,T6_M1,1,T6_M1_A3,STATUS_QUO,0,0.24,3,0,3.61
T6,T6_M1,1,T6_M1_A4,AI_FIRST,1,0.273,4,1,3.36
T6,T6_M1,1,T6_M1_A5,STATUS_QUO,1,0.225,2,0,3.81
T6,T6_M2,2,T6_M2_A1,STATUS_QUO,0,0.166,1,0,3.51
T6,T6_M2,2,T6_M2_A2,HUMAN_FIRST,1,0.307,4,0,3.93
T6,T6_M2,2,T6_M2_A3,AI_FIRST,1,0.202,2,0,3.41
T6,T6_M2,2,T6_M2_A4,AI_FIRST,0,0.181,1,0,3.34
T6,T6_M2,2,T6_M2_A5,STATUS_QUO,0,0.247,3,0,3.34
T6,T6_M3,3,T6_M3_A1,AI_FIRST,1,0.244,2,0,3.98
T6,T6_M3,3,T6_M3_A2,AI_FIRST,0,0.146,1,0,3.2
T6,T6_M3,3,T6_M3_A3,HUMAN_FIRST,1,0.216,3,0,3.83
T6,T6_M3,3,T6_M3_A4,AI_FIRST,0,0.21,1,0,3.46
T6,T6_M3,3,T6_M3_A5,HUMAN_FIRST,0,0.226,2,1,3.29
T6,T6_M4,4,T6_M4_A1,HUMAN_FIRST,1,0.29,4,0,3.62
T6,T6_M4,4,T6_M4_A2,AI_FIRST,0,0.201,3,0,3.0
T6,T6_M4,4,T6_M4_A3,STATUS_QUO,0,0.274,5,0,3.29
T6,T6_M4,4,T6_M4_A4,AI_FIRST,0,0.247,3,0,3.39
T6,T6_M4,4,T6_M4_A5,STATUS_QUO,1,0.382,3,0,4.12
